userName;score;content;Layanan;Fitur;Kebermanfaatan;Bisnis;Non Aspek
Kamal Sum;4;Banyak pop up Begitu buka app, ga langsung stay di halaman utama.;0;0;0;0;-1
Takwa Jeh;5;Aplikasi yg sangat berguna bikin serba mudah melakuksn pembayaran Terimakasih;0;0;1;0;0
Isra buntok;1;Pembodohan apa saya hampar 1 jam cari tombol live chat di app namun gak ketemu Padahal di bukabantuan tertulis silahkan tekan tombol live chat Woy kasih tombol siluman ya atau di hp saya saja tidak bisa Call center tidak bisa di hubungi ktnya sudah ada live chat Live chat siluman kali nih app gak jelas bnget;-1;-1;0;0;0
saskia kia;5;aplikasinya cepet respon dan layanan nya cepet ,, mantap pokoknya...;1;1;0;0;0
Lovely Wiwit;3;Maaf saya kurangi bintangnya🙏, baru saja kejadian akun hampir dibobol. Untuk keamanan data pengguna BukaLapak sepertinya perlu ditingkatkan lagi.;0;0;0;0;-1
arya jbd;5;Oke lah kayanya tambah ok barang dan pengiriman nya;0;0;0;1;0
anjay Gamers;5;tiap transaksi bukalapak pay later selalu di tolak padahal belum ada tahigan;-1;0;0;0;0
Sulistio Eko;1;Parah belanja 18 ribu ,ongkir 18 ribu di tambah lagi 20 ribu ...yg jadi pertanyaan saya 20 ribu itu apa. setiap kali belanja pakai payleter pasti ada 20 ribu nya ..klo 2 kali belanja di toko yg berbeda jadi 40 ribu ..aneh;0;0;0;-1;0
Erwin Effendi;5;Apk Bukalapak luar biasaaaa jempol 5.. Belanja sangat mudah dan aman, serta pengiriman pesanannya sangat cepat sampai ketujuan dengan kemasan aman juga sesampai ditujuan. The Best Apk Bukalapak sangat terbaik semua fasilitasnya.. Semakin terdepan..;0;1;1;1;0
Ghafir An Naml;4;Aplikasinya bagus,.. Praktis dan ringkas,..;0;1;0;0;0
sri hardana;5;Bagus aman.. Makin cepet loadingnya.;0;0;0;0;1
Marwan Syah;5;Produk bagus, sesuai pesanan;0;0;0;1;0
MUHAMMAD SADEWA;1;Tidak bisa vervikasi menggunakan nomor telepon;0;0;0;0;-1
Rifa Muhammada;1;Tolong untuk sistem atau kebijakannya diperbaiki. Status pesanan sedang diproses pelapak kenapa tidak bisa pengajuan pembatalan transaksi. Untuk aplikasi e commerce lain saja bisa.;0;-1;0;0;0
Adi Pras;5;Sampai saat ini Bukalapak masih ok, dan mudah digunakan. Mantaplah...;0;0;1;0;0
Tata 1103;1;Apk jelek, pelapak nya ada penipu dan dan Bukalapak tidak bisa apa-apa, barang tidak dikirim uang pun tidak bisa kembali;0;1;0;-1;0
Christiana T. Hartati;5;Sangat membantu dalam pemenuhan segala kebutuhan;0;0;1;0;0
no- disturb;4;Nomor ponsel tidak bisa buat daftar akun padahal nomor sudah benar.;0;0;0;0;-1
Vicky Ubaidillah;1;Yth Kepada PT Bukalapak. Kenapa saya beli beberapa Voucher Prakerja, kode kupon semuanya sama semua. Padahal itu semua sangat penting buat pelatihan tolong lah diperbaiki ini sangat tidak masuk akal sekali. Sebelum-sebelumnya nggak pernah ada kasus kaya gini, sangat kecewa banget. Udah chat sama CS prakerja tapi tidak bisa kembali seperti semula. Gimana ini tim Bukalapak, padahal di HP lain tidak ada masalah sama sekali tolong kerja sama dan responnya.;-1;0;0;-1;0
x;1;Kenapa bukalapak seharian error bahkan situs : bl.id/appreview tidak bekerja, dan tolong dong sya melakukan transaksi pelatihan prakerja di bukalapak karena iming² bonus kalian, mohon diperbaikin saya merasa dirugikan, voucher dan status pembayaran sangat tidak jelas.;0;-1;0;-1;0
Wahyudi Yudi;5;Sangat membantu dan mempermudah dalam kebutuhan saat ini;0;0;1;0;0
DUDI DWIRIYADI;5;Makasih mantaap sangat membantu dlm memperoleh barang yg diperlukan dgn kualitas baik & memuaskan.;0;0;1;1;0
Rully Listiani;5;Sertifikat prakerja di dashboard belum juga keluar;0;0;0;0;-1
andy wildhan;1;pesanan belum saya terima,tapi status sudah selesai njirr rugi saya paketnya dimakan setan kali ya parah!;0;0;0;-1;0
Aris Trismunandar 11;5;Proses cepat dan murah semoga bukalapak makin maju;0;0;0;1;0
Bayu Praseptyanto;1;Nyesel Pake Bakulapak ini, komplain barang salah kirim oleh penjual seenaknya aja rubah permintaan diskusi jadi penggantian uang tanpa konfirmasi pembeli. Seolah olah cuma berat di penjual untuk masalah komplain. Loe ga pikir biaya pengiriman kalo ternyata beratnya lebih mahal dari barang yang dibeli??Jujur sebagi pembeli saya kecewa dengan pelayan komplain dr pihak bukalapak. Sudah cs susah di hubungi pelayanan komplain cuma dilayani mesin. Uninstal Aja ini BUKALAPK, mending pake Tokped/ Shopee;-1;0;0;0;0
Ali Imron;5;Untuk pihak bukalapak..tolong jangan notip saya lagi soal pinjaman tunai .. soal nya ga pernh di acc Trimaksih;0;0;0;0;-1
Herman maningson;5;Aplikasi Bagus, tapi kurang di vasilitas tambah varian produk, warna hanya bisa pakai yg ada di aplikasi saja.;0;1;0;0;0
Angga March;1;Mohon bantuannya waktu saya hubungkan ke akun dana kok malah gagal terus ya tidak bisa tersambung sama sekali mohon bantuannya Terimakasih;0;0;0;0;-1
Teguh Imam Hidayat;1;pengiriman barang saya bermasalah, mau pale fitur live chat dibukabantuan, malah udah gak ada.. terus gimana buat konfirmasi barang saya.. kalo gini rugi saya;0;0;0;-1;0
Alexa Putra;3;Respon pelapak cepat dan baik,cuman sayang jika mau complin masih harus nyertakan vidio segala.;1;0;0;0;0
ikadek artawan;3;Belanja online dan jual barang bagus bisa di percaya. dan BukaLapak bertanggung jawab sama pembeli.. tapi kalau sama penjual..saya kurang tahu....mungkin sama juga. Bukalapak dapat di percaya Hanya saja kalau kita komplin masalah pulsa sulit bisa chat sama staf kerja di bukalapak;-1;1;0;0;0
ultraman zero;2;kenapa untuk pembatalan pembelian itu sulit.padahal barang belum diproses.;0;0;0;-1;0
Biwi Uil;1;Banyak penjual di bukalapak yang tidak amanah, tetapi tetap dibiarkan begitu saja.. sudah komplain pun masih tetap dibiarkan tanpa diberikan sanksi yang tegas kepada penjualnya.. dengan demikian kami sebagai pembeli sangat dirugikan dengan keadaan seperti ini..;-1;0;0;-1;0
hendrik hendrik;5;Belanja nyaman terjamin keamanannya;0;0;0;1;0
Vidio amatiran;1;Aplikasi lemot Kalah sama toped shopy Aplikasi jalan di tempat;0;-1;0;0;0
Selpi Dewi;5;Mitra pelatihan prakerja yang bagus buat menambah pengetahuan dalam memasak..;0;0;0;0;1
Karyono Kar;5;Penggunakan buka lapak sangat cepat dan praktis terima kasih buka lapak semago maju terus layanan juga cepat direspon tanpa ribet.;1;0;1;0;0
Dani Dragon;1;Aku coba download lagi aplikasi ini. Eeehh tetep parah tidak bisa bayar di tempat. Aku delet lagi ga ber manfaat mendingan di Lazada tidak ribet semua bisa bayar di tempat;0;-1;0;0;0
Mus Irin;5;Belanja di Bukalapak sangat mudah. Jika ada keluhan cepat ditangani;1;0;1;0;0
Pengguna Google;1;Sangat mengecewakan ... Toko tutup tp masih terima order,jadinya orderan saya engk dikirim kirim ... Ajuin pembatalan jga phak toko engk ada respon ... Hrusnya klo tko ttup ksih notif kya aplikasi2 sebelah,biar pmbeli tdak kecewa Kapok transaksi d sni,setelah dana saya kemabali sya akn hapus aplikasi bukalapak ... Terima kasih ...;-1;0;0;-1;0
Tino A;5;Aplikasi terasa jauh lebih ringan. Fitur2nya juga lebih bagus.;0;1;0;0;0
Eko Anggoro;5;Sangat membantu dan mudah saat kita ingin belanja apapun;0;0;1;0;0
M Firmansyah;5;Pasar online yang Rekomended,,, tingkatkan terus pelayanannya;0;0;0;0;1
vicky sopian;1;Ini bukalapak kontak pengajuan dimana syh melakukan pembayaran tpi di tagihan masih ada, kontak wa ga aktiv ini sengaja apa gmn;-1;0;0;0;0
mas jirin;5;siiip mantul.. tp klo kasih promo jgn di hanguskan2 ya.... bikin Hati berdebar2. masih untung ku kasih BINTANG 5 josss;0;0;0;0;1
Mas Arif;5;pokoknya belanja di BUKALAPAK gak bakalan kecewa.... mantap banget;0;0;0;1;0
Aming Dolvin Jennefer;1;Sering ngehang apknya...macet sering force close...;0;-1;0;0;0
Nafi Seven;5;Sangat berguna dengan program dan promo menarik trimakasih Bukalapak;0;0;1;0;0
Hendro Yulianto;1;verifikasi sudah lbh 72 jam gak ada notifikasi sama sekali...!!!!!!! sekalian aj verifikasi 72 tahun aja...!!!!!!;0;0;0;0;-1
Amel Pradipta;5;smua proses pembelian cepat ,,biarkan bintang saya yang kasih suara.;0;0;0;1;0
Ar Sur;5;Sangat membantu skli dan peraktis cepat, smoga limit nya naik, rekomend bgt;0;0;1;0;0
Basukiyono Wiratmojo;5;Bagus dan mudah aplikasinya.;0;0;1;0;0
Ita Barlita Mandagi;1;Sistem kacau, buka bantuan tidak sesuai, masuk ke live chat ribet udh gitu sulit dijangkau berbelit-belit. Pdhl kondisi wifi aman, buka apk ijo dan oren aja lancar-lancar saja. Diperbaiki lagi sistem bantuannya biar ga bkin pusing pengguna.;-1;-1;0;0;0
Wahyu Widi 555;1;Aplikasi apa'an. Sistemnya sangat parah. Kendala lupa password diarahkan buka bukabantuan. Sudah mengikuti sarannya. Tetap diarahkan ke bukabantuan. Sebenarnya apk ini maunya apa. Mengecewakan;0;-1;0;0;-1
Farida Prastowo;5;Bagus Alhamdulillah banyak promonya juga dan tolong vouchernya diperbanyak.;0;0;0;1;1
Bayu Alfayet;1;Saya ketipu 800.000 dengan aplikasi ini mohon untuk pembuat aplikasi ini di tindak lanjutin dong saya sebagai pengguna aplikasi ini sangat kecewa dan sedih dengan aplikasi karena responnya sangat tidak langsung tanggap dalam menyelesaikan masalah apa yang pembeli alami kalau mau bukti nanti saya fotokan sturk dari transfernya;-1;0;0;-1;0
mg najib;1;hati hati untuk transaksi pulsa dan pembelian token listrik, apabila transaksi berhasil dan dana terdebet atau terpotong tapi pulsa tidak masuk atau no.token tidak keluar, itu susah banget ngurusnya di fitur transaksi aplikasi bukalapak tidak ada fitur komplain nya, jadi ga tau harus komplain kmn, call centre susah dihuhungi dan tidak melayani komplain via call centre. jadi harap2 cemas dana anda bisa hilang bak ditelan aplikasi.;-1;-1;0;0;0
Om boedi;5;mantul dan mudah belanja lancar jaya;0;0;1;0;0
Miftahul Arifin;3;Kenapa ada tagihan dari Bukalapak sebesar 1juta lebih sampai sampai saldo saya diambil padahal saya tidak membeli produk apapun pada saat itu tapi kenapa ada tagihan yang begitu besar sampai² saya bingung harus bagaimana bayarnya😞😭;0;0;0;0;-1
Wahyu Purnama;5;Barang sesuai pesanan dan kwalitas produk, makasih buka lapak...;0;0;0;1;0
Balqis Chaliska;5;Belanja jadi lebih mudah dan gampang smoga amanah yah maju trus;0;0;1;0;0
Riky Mos;1;Ferifikasi pinjamanya agak susah pas ambil foto wajah kamera gx berfungsi. Payaaah;0;0;0;0;-1
Muklis Adi;5;Sangat bagus buat pembelian pelatihan Prakerja;0;0;0;0;1
Adhe Avianti;5;Aplikasi sangat mudah dan cepat, banyak yg dijual disini, pengalaman beli kelas prakerja juga cepat;0;0;1;1;0
Asep ramlan;5;Aplikasinya bagus banget, memudah untuk berbelanja, oke trmksh.;0;1;1;0;0
Hendra Ernawan;5;Bagus dan Perhatian dalam pelayanan konsumen, cuma sayang nya tidak menyediakan dana talangan(Pay Later) untuk konsumenya. Bila disediakan dana tsb akan lebih bagus n wah buka lapak. Terimakasih;1;0;0;0;-1
Sobar Solehudin;4;Nyaman di gunakan cuman belum bisa pake limit cicilan;0;0;0;0;1
erwin oktariadi;4;good aplikasi, pertahankan, gratis ongkirnya susah skg;0;1;0;0;-1
Pujawans Gede;5;Cepat respon dan sangat menarik untuk berbelanja.;1;0;0;1;0
Andi Basri;5;Bukalapak mantap,semua bisa,bisnis jadi lebih muda..;0;0;0;0;1
Hikmat Ambo;5;Sya suka pelayanannya dan sangat cepat baik responnya.terima kasih buka lapak;1;0;0;0;0
Marga Tri R;5;Mantap bukalapak proses cepat barang komplit jga murah sukses terus ....👍;0;0;0;1;0
Fikri Yudhistira;5;Banyak ongkir nya tanpa hrs pake aplikasi dompet.;0;0;0;1;0
Dewa Biru;3;Pengalaman saya sebagai seller Di Buka lapak cukup bagus tapi ada hal yang mesti diperbaiki di dalam sistem komplain. Contoh yang udah terjadi: Saya menjual barang (A) dan ada buyer yang inbok dan menanyakan harga kenapa harganya mahal banget. Dan saya bilang harga sesuai kualitas. Dan yang terjadi malah foto jualan saya di laporkan dan di baned sama bukalapak padahal yang melaporkan bukan juga pembeli dan itu sangat merugikan seller. Tolong kedepannya bisa memperbaiki System tersebut.;0;0;0;-1;0
Hedi Rusmanto;5;Manteb barang cepet nyampai,malaupun hari libur,trim bukalapak &kurir,;0;0;0;1;0
Akhtar Gania;5;Pengjriman cepat . Harga murah;0;0;0;1;0
Bakul Es;1;Tolong dong saya sudah bayar loh kenapa belom di konfirmasi ya ? Aneh banget;0;0;0;-1;0
Diana Ramadona;5;bukalapak aplikasi belanja yg sangat bagus;0;1;0;0;0
sabatian;5;Cocok sama aplikasi ini, lebih bagus klo promo ongkirnya lebih banyak hehe;0;0;0;0;1
Agus Mk;5;"Barang pesanan sudah sampai tapi belum dipasang,mudah""an awaet";0;0;0;1;0
Ambar Tri Widiatmoko;5;Aplikasi semakin baik, pertahankan, agar tetap bisa bersaing dengan kompetitor.;0;1;0;0;0
Nanadang Nandang;5;Aplikasi buka lapak memudahkn berbelanja jg bisa juan pulsa listtrk pulsa hp jdi mudah;0;0;1;0;0
Moh Sukron Dzulqurnen;3;Bagus kok, tp maaih kurang puas, dibanding aplikasi sebelah;0;0;0;0;-1
Novia Angelia;1;Tulisan nya jaminan uang ongkir kembali kurir bukaexpress bila 2 hari blm sampai. Barang sy Tanggerang ke Bogor udah 4 hari status resi masih di agen expedisi blm tiba TAPI sangat sulit untuk klaim nya.. Nora ini Indonesia bgt loh . KeCEwa bangat Sumpah;0;0;0;-1;0
Willy Wiliyana;5;Barang yg d jual bagus dan sesuai dan ada garansi barang god deh buat bukalapak sukses;0;0;0;1;0
burhan nudin;1;Parang ini mah morotin bunga nya luar gila .lagi mau nyoba ngambil pulsa di Bukalapak paylater seharga 6500 terus ada biaya layanan 20000 lah gila bunga sama pembelian mahalan bunga nya;-1;0;0;-1;0
AR FAISAL SIREGAR;5;Aplikasi buat pribadi ataupun bisnis yang sangat bagus dan cepat sekali respon dan hasilnya juga voucher yang berlimpah Makin mantaab markotop,maknyosss. Makin baik;1;0;0;1;0
Nandang Cahyadi;5;pokoknya bukalapak sipp...kalau ada permasalahan return barang respon cepat+kalau bisa bonus ongkir ny di tambah baik cod maupun pembayaran lewat minimarket...intinya bukalapak sipp;1;1;0;0;0
Subariman 001;5;Sangat mudah untuk melakukan transaksi, sangat membantu dalam belanja;1;0;1;0;0
muchlisin aje;1;Riwayat pembelian sudah numpuk gak bisa di hapus,, saran! harus di perbaiki;0;0;0;0;-1
Arga Febian;1;"Error aplikasinya saya mencoba menghubungkan akun dana saya tapi selalu aja ""KESALAHAN SISTEM"". 24 jam saya tunggu tetep aja seperti itu tolong lah males banget seperti itu ERROR mulu";0;-1;0;0;0
abd rahman;5;aplikasi belanja paling mudah.. ringan dan cepat;0;1;1;0;0
Sa'dianoor;5;Sangat membantu mencari kebutuhan sebagai mahasiswa dan pegawai;0;0;1;0;0
Suharmi Harmini;5;Saya anggota prakerja Alhamdulillah untuk pembelian pelatihan di Bukalapak sangat cepat prosesnya dan lancar, semoga sertifikat saya segera muncul, terimakasih Bukalapak;0;0;0;1;0
Martin Dani;5;Mudah penggunaannya, barang yg ditawarkan pelapak juga berkualitas.;0;0;1;1;0
Ifan Tm;5;Sangat membantu dan mempermudah membeli barang atau pelatihan;0;0;1;0;0
Andi Amanda;5;hanya saran mohon ditingkatkan lagi untuk jasa pengiriman dipercepat sudah mahal lambat lagi tanks;0;0;0;-1;0
chuliatul fadzilah;5;Sangat membantu dalam pembelian pelatihan kartu prakerja dan sangat mudah dalam prosesnya terimakasih;0;0;1;0;0
Qageng chenel;1;Kampreeet ... Bikin emosi males gw pake BLpaylater angsuran telat 6 hari udah kasar bahasanya udam mau ditransfer ditlfon dllu bikin kesel udah laah males pake BL lagi greaternya kasar tdk disekolahkan kayanya kalo udh lunas semua saya hapus appnya 😡;-1;0;0;0;-1
Tia Setiani01;5;mantap buat bukalapak pesanan ku sudah sampai , pelayanan sgt ramah dan cepat , thank you mas kurir dan seller ,,, sujses sll buat bukalapak ya ...;1;0;0;1;0
Agg Wdd;5;Bagus,apalagi udh disuport paylater tmbah mudah utk berbelanja,,sukses sllu bukalapak n kredivo;0;0;0;0;1
Malik nike chanel;5;Menarik dan menu tampilanya mudah dipahami mantap deh pokoknya;0;1;0;0;0
Muhammad Andre Pratama;5;Sangat membantu dan mempergunakan nya pun simple;0;0;1;0;0
Syam Syam;5;Sangat bermanpaat dan berpengalaman mencari ilmu;0;0;1;0;0
Siti Khotimah;5;Saya mengikuti program kartu prakerja dan saya telah menyelesaikan pelatihan pertama saya,membeli pelatihan di bukalapak sangat mudah sekali. Semoga ilmu yang saya terima dapat bermanfaat bagi saya terimakasih. Good;0;0;1;0;0
Nur Run;5;Sangat membantu, harga lebih miring dari toko sebelah;0;0;1;1;0
Aura Motor;2;Suka memutuss kan fitur2 chat sepihak.. padahal sudah lama berlangganan bertransaksi dr BL, MUTUS PITUR CHAT PEMBEKUAN PAYLATER DAN BAYAK LAIN Y.;0;-1;0;0;0
sandi nugraha;1;Per hari ini, saya uninstal aplikasi ini. Kecewa dgn paylater nya. Selalu di bayar jauh dari jatuh tempo malah kena penalti, akun di bekukan dgn permanen.. hih;-1;0;0;0;0
Fairo Artha;1;Apk lumayan bagus KL buat order pesanan tapi kalau mau komplain susah...harus menyertakan foto/video tapi d aploud d aplikasi yang di sediakan tidak bisa.....Piye admin;-1;1;0;0;0
Diin Raca;5;Sangat membantu untuk belanja apa aja!!!;0;0;1;0;0
rudi tabuti;5;Untuk pembelian pulsa harga paling murah tanpa promo,,mantapppppppppppppppppppppppppppppp;0;0;0;1;0
Mario Sulivan;2;Tdi nya suka ehh makin kesini makin susah dpat diskon,Maaf kode gratis ongkir sama diskon buat beli kesukaan nya GK ada . . Mohon perbanyak dong kak .;0;0;0;0;-1
Ridho Achmad Noer Faizi Faizi;5;Aplikasi bagus membantu saya dalam membeli apapun memudahkan semuanya terima kasih;0;1;1;0;0
Kamera As;3;Kenapa paylater gak bisa digunakan sisa limit masih ada,, Kalau memang karena ada tagihan di platform lain,seharusnya kasih keterangan saat transaksi dibatalkan secara sepihak,,;-1;0;0;0;0
Rahmansyah Danendan;1;Entah ada maslah apa ini aplikasi dengan bsi va, menu pembayaran dengan menggunakan va bsi kadang tersedia kadang tidak, sehingga pelanggan bsi harus memastikan dulu apkh bank bsi masih tersedia atau tdk...👎;-1;0;0;0;0
David Saputra;1;Apk ini mudah di bajak .di saran kan jgn hubungkan dg kartu kredit kalian. Jgn simpan uang di sini banyak 2;0;-1;0;0;0
Mister Roy;3;Fitur pay later cukup membantu. Hanya buat saya masih sangat kecil dan tenornya pun hanya sebulan. Saya kasih bintang 3 dulu....;0;1;0;0;0
Saiful Anwar;3;Sorry gw kurangin bintang nya!! Habis ga di naik2in limit nya... Tolong di tambahin dong limit kredit nya...buat pelanggan setia yg selalu tepat waktu pembayaran nya. Biar lebih loyal lagi, pelanggan nya beli di lapak BL 😁😁;0;0;0;0;-1
Tri Hadiatmo;5;Untuk mengetahui posisi barang susah, jadi ga bisa monitor.;0;0;0;0;-1
HadeJaya Channel;2;Kadang bingung... ingin ikut jualan di sini SUSAHNYA RRRRRUARRR BIAYASAH... ditolak dengan alasan NIK tidak sesuai dengan KTP ALIAS TIDAK VALID padahal jualan di sebelah Juga pakai NIK/KTP yang sama...tapi ko bisa LANGSUNG JUALAN LANCAR.;0;0;0;0;-1
Pepen Effendi;5;Pesanan barang mudah dicari dan tidak ribet...;0;0;1;0;0
Moeljana Yusup;4;Mantap belanja di bukalapak... Tidak ada kendala apapun;0;0;0;1;0
Mas Ipung;5;Buka lapak Sangat praktis dan mudah;0;0;1;0;0
Miftah Bahru Salam;1;Aplikasi ga rekomend banget ajukan komplain malah di bikin pusing data semua yang di minta sudah di kasih masih ajah kekurangan ini itu kalo emang salah tolong kasih contoh yang benar jangan seenaknya nyuruh gini gitu dasar aplikasi mempersulit;-1;-1;0;0;0
HP Production;5;Bagus deh belanja di Bukalapak real harganya namun harus pintar memilih barang di toko online;0;0;0;1;0
ANTA TV;5;Senang sekali dengan aplikasi bukalapak ini 😊😍, bisa membuat saya lebih gampang bertransaksi..;1;0;0;0;0
Mailinda Yudiarti;1;Bukalapak ribet skrg !! Bertahun tahun belanja online disini tp skrg saya sangat KECEWA !! Pelayanan nya ribet !!;-1;-1;0;0;0
Edy Siswanto;5;Sangat membatu, pembelian gampang, terimakasih Bukalapak;0;0;1;0;0
Arif Ahmad;5;Mantap pokoknya,,,n hargnya mantul pas di kantong ,,ongkir murah,,mantap pertahankan buka lapak;0;0;0;1;1
Tita Meylani;5;Lumayan bisa di andalkan ch . Yang lain libur mau lebaran di sini masih ontime meski harga beda2 dikit . Buat aku ch kalau butuh jualan yang kosong aga bisa di ajak kompromi Bukalapak . Makasih aku jadi punya stok lagi karna yang lain pada libur 🙏🥰🙏;0;0;0;0;1
Mila Rahmadani;5;Aplikasinya sangat bagus,sangat membantu saya,wajib banget install aplikasi ini pokoknya;0;1;1;0;0
Mokong Ardianto;5;Oke banget, cara pesannya mudah dan pembayarannya aman. keren..👍 Sy punya beberapa aplikasi jual beli online, tp Bukalapaklah yg paling sering sy pakai krn benar2 memudahkan transaksi. Biar bintang berbicara.;1;1;1;0;0
Rangga Juniansyah;5;Barang komplit dan aplikasi mudah digunakan;0;1;0;0;0
Nameera Izza;1;Saldo penjual lama masuknya narik dr smlm sampe sekarang blm masuk juga. Gak kek toko sebelah.;0;0;0;-1;0
Erik Cahriono;5;lebih di banyakin lg untuk pembayaran COD nya.untuk pelayanan memuaakan.;1;0;0;0;0
Anthoni Harris Rano;3;Konfirmasi penerimaan barang baru bisa dilakukan 24 jam setelah pengiriman. Parah nih...;0;0;0;0;-1
Pendosa Handal;4;Tolong kasih fitur untuk ulas jasa kirim juga dong. Kadang udah packing rapih+DoubleWarp masih rusak juga akibat pihak ekspedisi. Yg disalahkan jadi pelapak, alhasil rating produk turun;0;0;0;-1;0
Aris Syaprial;2;Setelah topup dana, saya tidak bisa login ke akun bukalapak! Kenapa bisa begitu ya? Apakah akun saya ada yg hack?;0;0;0;0;-1
cris tian;1;"Cukup 1 Bintang aja, kl Ada Nol Bintang jg mending Kasi Nol lah.., Flash Deal itu kl mmang gk ada Niatan mau Kasih Barang murah.., gk usah Sok Buat Harga gitu deh. Gk Usah trlalu Sok Promo Sgitunya kl mmang ujungnya Gak dikasih Sama skali. Kl Gk mampu Ngasih ""SEDEKAH"" dari Flash Deal.., mending kasi Barang pake Harga agak Miring dikit.., Cuma mencari Kesan Baik aja itu namanya..., ibarat kata.., Gayanya mau Ngasih tapi cm 100% Kebohongan.., Alias trmasuk Mu afik namanya. Tolong lah ya.";0;0;0;0;-1
Romeo Bertopeng;5;"Di searching, ""Filter saat ini"" gk ada. Jadi harus agak ribet buat ganti filter yg sesuai.";0;-1;0;0;0
sufi muhamad;1;Aplikasi paling ribet. Pengajuan retur ribet. Chat sama cs juga ribet. Di sini cuma penjual yang di untungkan;-1;-1;0;0;0
adi kurniadi;5;Belanja murah dan lebih mudah;0;0;0;1;0
Djaellani 1960;5;Pengalaman pribadi, pernah terjadi Pelapak Nakal menawarkan brg, yg dikirim tdk sesuai dgn spesifikasi yg ditawarkan akhirnya terurn. Terutama brg elektronik second, hendaknya JUJUR, apa kekurangan dari brg yg ditawarkan, spt komputer, radio dll yg ternyata setelah beberapa bln masuk servis bahkan jd rongsokan dan hampirsama dgn beli baru. Padahal sbg buyer kita banyak nanya, yg akhirnya SETUJU, BELI. Disini perlunya AKAD dan NIAT BAIK DLM BERBISNIS ON LINE. Sehingga sama² enak dan sama² ridho.;0;0;0;-1;0
ddgy;3;Fitur mudah, bisa mendeskripsikan pelapak maupun barang scra jelas. Tapi sekarang tampilannya agak jelek. Pakai DANA malah ribet, uang tidak bs dicairkan dengan mudah.;0;1;0;-1;-1
Christian Anto;2;Tolong donk ongkirnya diturunkn sdkit kaya lazada. Okngkir kadang hampir sama dgn harga barang, mahal skali;0;0;0;-1;0
Achmad Cahyo;1;Notifikasi untuk bukalapak versi terbaru gak lengkap . Jadi pusing, cek transaksi saya.. tolong di perbaiki;0;0;0;0;-1
Agus Aj;1;Payletter sangat mengganggu blom waktu pembayaran tlpon bisa setiap jam,;0;-1;0;0;0
gio vandres;2;Sedikit kecewa juga skarang beli dionline, akhir2 ini beli hp baru, gak taunya hp second dipecking baru lagi. Mulus si tapi namanya dah bekas dipakai dan itu dihargai baru. Gimana solusinya ya,;0;0;0;-1;0
m ubaidillah Ubet;5;Semuanya jadi mudah dan aman;0;0;1;0;0
rafian yan;4;Barang nya oke,..mantap,,,,sampai nya lebih cepat,,makasih;0;0;0;1;0
fasyih;2;Pengiriman instan saat ini sering tidak di pickup,sudah beberapa kali pakai jasa layanan instan,mksdnya biar cepat malah sampai ada yg tidak dikirim;0;0;0;-1;0
Muhamad Anwar;5;Bukalapak memang mantap. Transaksi sangat cepat. Thanks yaa. 🙏;0;0;0;1;0
Muhammad Akbar Maulana;5;mantap sangat bermanfaat sekali dan membantu..;0;0;1;0;0
Priaji Aji;5;Bagus. Aplikasi buka lapak.. pengiriman tepat waktu.. barang sesuai pesanan. Cuma.. sayang aja. Ongkir nya masih kemahalan. Khusus nya.. buat daerah Maluku..;0;1;0;1;0
Gasela Kita;5;6 tahun pakai Bukalapak, tidak ada kendala. 95% belanja online pakai aplikasi ini. Bonus credit setelah ulas barang, menyenangkan. Tapi gak selalu dapat. Entah sistem yg error', atau ada syarat dan ketentuan yg tidak saya ketahui.;0;-1;0;1;0
46137 4212;5;Setiap aplikasi dibuka pasti belanja, karena harga yg murah.;0;0;0;1;0
Adjat Tasikdigitalnative;1;Form pengajual tidak muncul OTP tidak muncuk terus gimana saya mau komplen. Sebagai pelapak saya merasa dinrugikan;0;0;0;-1;-1
Muhammad Nigi;5;Belanja mudah dan murah proses cepat;0;0;0;1;0
Sukardi Ardi;5;Sangat bagus dan memudahkan dalam bertransaksi segala macam kebutuhan;1;0;0;0;0
Arief Sumarna;5;Sangat bermanfaat dan membantu dalam mencari barang yg kita butuhkan.;0;0;1;0;0
Banchot Anch;1;Aplikasix jelek, perbandingan harga sama lazada atau shoope jauh bgt .gw langsung uninstal .;0;-1;0;-1;0
H Alamsyah;1;Belanja voucher game pasti pending pembayarannya berjam2, gimana sih;0;0;0;-1;0
Gustaf Maya;1;Aplikasi ruweett ....paylater belum jatuh tempo sudah dibayar malah dibekukan permanen.;0;-1;0;0;0
Chef Dwiky Wongso;5;Mantap sekali transaksi sgt lancar thxs BL;1;0;0;0;0
adinda BOY;1;Akun pay later dibekukan padahal baru bayar tagihan, jatuh tempo masih sangat panjang, nyesek jadinya;0;0;0;-1;0
eko joko;5;Banyak macamnya untuk barang barang teknik;0;0;0;0;1
Ratna Dahlia;5;Sangat puas pelayanannya tetap pertahankan;1;0;0;0;0
galih febianto;5;Aplikasi keren... Tolong untuk fitur cod diperbanyak;0;1;0;0;0
Adi Adi;5;rekomen bnget,, gk ribet dan mudah di pahami;0;0;1;0;0
Abd Azis;5;Bagus sh...tp sayang,knp paylater saya dibekukan sampai saat ini.pdhl bayar selalu tepat waktu;0;-1;0;0;1
Rhmt Benawa;5;Tingkat kan lgi pelayanan nya,,gratis ongkir nya lebih besar donk seprti yg lain..;1;0;0;0;0
